label,text
joy,I suppose I am happy being so ` tiny' ; it means I am able to surprise people with what is generally seen as my confident and outgoing personality . 
joy,Lennox has always truly wanted to fight for the world title and was happy taking the tough route . 
joy,"He was a professional musician now , still sensitive and happy doing something he loved . "
joy,Holmes is happy having the freedom of the house when we are out . 
joy,"I had problems with tutors trying to encourage me to diversity my work and experiment with other styles , but I was quite happy with the direction my work was heading so I stubbornly stuck to it . "
joy,These days he is quite happy travelling by trolley . 
joy,"I 'm really happy in the group now . "" "
joy,"I was given a dummy in which to do my preliminary sketches , but the dummy was designed so beautifully by Amelia Edwards that I was really happy with my work . "
joy,"I must say I was not totally happy about her going on at Yeo Davis , with me in the government . "
joy,"Indeed , the two M boys themselves were not totally happy at first at having these initially undisciplined children visiting their home and generally being around on a regular basis . "
joy,` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half . 
joy,"But seriously , I 'm very happy that you 're staying . "
joy,We are very happy that the Volkswagen Tour has enabled us to welcome this renowned orchestra to the Festival for the first time . 
joy,"In the last 10 days of the trail , however , he became much happier to take risks , although babies remained unkissed . "
joy,"A drop of scotch during occasional periods of self-criticism helped him to become happy with himself , but most of the time he was happy anyway . "
joy,He felt suddenly happy at being alive . 
joy,What I did n't understand was why I did n't feel happy walking down the street afterwards . 
joy,Sarah tried to stop herself from feeling happy at this revelation . 
joy,He seemed happy with this . 
joy,"Nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and Tolkien was happy to discover anyone who could appreciate what he was up to . "
joy,He 's just happy to get on with it . 
joy,Neil Kinnock was happy that his deputy should spell out his commitment to equality as Labour 's objective . 
joy,I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset . 
joy,` We are not happy that the group is meeting Sinn Fein and will demand an explanation from the Consulate . 
joy,"` I 'm so happy you could make it , my favourite jockey . "" "
joy,Said his co-boss Curbishley : ` I was a bit disappointed when Lennie Lawrence at Middlesbrough did n't come up with the price we 'd fixed but I 'm happy the lad is still here . 
joy,Do you have a delight in animals and skill in their management ? 
joy,"The book also moves close to a highly critical analysis of science and yet never becomes anti-science , only anti-scientific : Jones 's own delight in physics enthusiastically drawing the sting out of his own criticism . "
joy,But he was sniffily dismayed at their delight in consumerism and sheep-like attitude to the reactionary rubbish in the papers . 
joy,"Trying to hide her enormous delight in his return , Juliet turned to David . "
joy,"` Estelle 's delight in Thomas made your mother very happy , "" Ashley recalled , her head resting against his chest . "
joy,"She cackled and slapped her knees , bent double and wheezing with delight at her own witticisms . "
joy,My delight at everything I saw was beyond bounds  gardens were allotted my sister and self  there was the canal to fish in  a pony to ride  besides animals of different kinds 
joy,"They were astonished to see the penguin , and swooped low to call out with delight at her sleek feathers and solid little body . "
joy,"The ANC , while expressing delight at their decision , nevertheless continued to call for the dissolution of the tricameral parliament , which it regarded as essentially racist . "
joy,Her stumbling repetition masked a growing delight at his basic error . 
joy,Bobby Robson 's delight at having guided his team to another major tourament was coupled with gratitude to the 40-year-old goalkeeper . 
joy,"Expressing his delight at being appointed , he said : ` This is the one job I had hoped for . "" "
joy,Headmaster Jim Jones recalled her delight at winning the egg and spoon race . 
joy,The delight at being finally united with Joan was tempered by a feeling of discomfort about Ronnie Leahy . 
joy,Minton 's sober and workmanlike drawings instance his delight in registering rhythmic activity and industrial shapes . 
joy,"His delight and sense of wonder at the growth of his baby were erratic as other interests pressed , but real enough . "
joy,"Yes , I 'd like to declare a small case of French flu , a dangerous fondness for Flaubert , a childish delight in French road-signs , and a love of the light as you look north . "
joy,"The celebration of sexuality found in the works of Sidur , Neizvestny and others , stemmed partly from the mischievous delight in taunting society 's taboos . "
joy,"It was also due to a barbaric delight in high-sounding verbiage , and probably this was the most powerful reason for its use . "
joy,"Re was at first pleased but soon realised that Hathor 's delight in killing might lead to the destruction of all mankind , which he had not intended . "
joy,Their cheerfulness and delight at still being alive only made Charlie feel more guilty . 
joy,"This time Ronni admitted it , feeling a little like a traitor at the confession -- and at the sense of pure delight she felt at Guido 's gesture . "
joy,"In the end , the poems must be read as expressions of sheer delight in friendship . "
joy,"With such obvious delight in food , it 's hard to see how Blanc remains so slim . "
joy,The animal seemed to take a perverse delight in terrorizing him . 
joy,"All he 'd glimpsed through the window was Matta playing solitaire of some kind , so why had the man taken such delight in terrifying him ? "
joy,"But do I take delight in pushing you down , making you worse ? "
joy,Todd showed delight in simple songs and reverence when invited to pray . 
joy,"` But my chairman and vice-chairman have given me another year 's contract , and I 'm absolutely delighted to be staying at Nottingham Forest . "
joy,"I 'm absolutely delighted that we achieved what we set out to do at the beginning of the week , which was to ensure that the Ryder Cup stayed on this side of the Atlantic . "
joy,"Highly delighted with the transaction , we made our way back to Althorp Street , wondering how we were to break the news to Mrs Sugden . "
joy,"Both Mr Souness and Jim Smith , the Portsmouth manager , emphasised how delighted they were with the overall quality of yesterday 's tie . "
joy,"She was on her feet taking his hand , smiling at him , telling him how delighted she was to meet him . "
joy,Sir : I am writing to say how delighted I am with your magazine ! 
joy,"Mr Mitterrand appears so delighted with the ultra-courteous Edouard Balladur , that some Socialists wonder whether he has at last found the prime minister of his dreams . "
joy,"I was responsible for Community Programme for the last 18 months of its life , so I 'm delighted to be involved in introducing Community Action . "
joy,So we 're delighted to bring our conference to support our members in Portsmouth . 
joy,"The Buenos Aires flight was delayed and the plane horribly hot , but this did n't upset the passengers who seemed delighted to be going home . "
joy,The proprietress seemed delighted to see them . 
joy,"For the watching world , she smiled and laughed , seeming perfectly delighted with her husband and newfound status . "
joy,"` He did n't seem too delighted to see you , "" said Betty . "
joy,Advertisers said they were delighted to see many of their proposals reflected in the Government 's approach . 
joy,"Whether or not the Palace actually arranged for the drawing to be removed , there can be little doubt that they were delighted to be rid of it . "
joy,` I am delighted that you are so cheerful and optimistic . 
joy,"On the other hand , she suspected that Fowler-Thrown would be delighted to have a private view of Newley 's collection . "
joy,"Obviously , staff will be delighted that the appointment of a new Director has been made and sad that Tom has gone but it is the proposed reorganisation which will occupy the minds of most staff . "
joy,"I was delighted to see the photograph of the staff from Department One , published in the January/February issue of Wimpey News . "
joy,They were delighted with the turnout of spectators and the general organisations by local authorities . 
joy,"` We are delighted to help the museum extend its collection , "" said Mr Watson . "
joy,"Not having entered art competitions before , I 'm delighted to have reached the finals . "
joy,I 'm delighted to learn that his advice has been sought in the present enterprise . 
joy,"We act cool , like we 're not delighted to meet up again , then we sit round the kitchen table and talk . "
joy,"My Lord Mayor , I 'm delighted to have this opportunity to debate the Government 's health reforms again . "
joy,"Delighted to be taken for another ride in another car , the little boy chuckled . "
joy,I 'm delighted that you 've been able to come along at such short notice . 
joy,"` What is it ? "" asked the eight-year-old , delighted that he had somehow managed to amuse this mature woman of nineteen . "
joy,"` Now that I 've seen the finished copy I 'm delighted that I encouraged Susan to write it , "" said Mrs Major . "
joy,"Li Yuan was smiling broadly , pleased with himself , proud of his scheme , and delighted that he had Tsu Ma 's approval . "
joy,"Though relieved , and fiercely delighted that she had apparently stopped him in his tracks , Polly was apprehensive about going back up on deck . "
joy,"` I 'm delighted they left you the house , "" Julia told Margaret . "
joy,We were all very worried about you and I 'm delighted you 're home again . 
joy,"` I 'm delighted you 're so pleased to see me . "" "
joy,` Lee and Ian have shown they have what it takes to earn first-year professional terms and I 'm delighted they 've agreed to join us . 
joy,"McGoldrick signed on for four years after talks with Highbury boss George Graham and said : ` I 'm delighted it 's all gone through so smoothly . "" "
joy,"Sammy stuck his nose in the air , delighted at such attention . "
joy,"The dog , delighted at last to have some attention paid to it , raced ahead , scenting rabbits , his great tail pluming . "
joy,He appeared delighted at the prospect . 
joy,"Looking anything but delighted at the prospect , he stood up . "
joy,"She grinned , delighted at this mind-reading . "
joy,"She cackled , delighted with the queasy mixture on the plate , hot brown coffee lapping at the pale wedge of sugared pastry . "
joy,"Delighted with their silver medals for reaching the final against the world champions , England saw the match open with an expected win by the world champion Jorgen Persson over English champion Chen Xinhua 21-8 , 21-18 . "
joy,"` In my youth "" , says Baxter , ` I was quickly past my fundamentals and was running up into a multitude of controversies , and greatly delighted with metaphysical and scholastic writings . "" "
joy,"Modigliani , delighted with the atmosphere of warmth and sincerity , resumed his friendship with Soutine and Indenbaum . "
joy,"And , remember , as with all our offers , we guarantee to refund your money if you 're not delighted with your purchase . "
joy,"He chuckled , delighted at having amazed her . "
joy,"Delighted at having gained his complete attention , Lori squirmed in her seat . "
joy,Morrissey was ecstatic at the response . 
joy,If you use a fax card you 'll be ecstatic to see that WordStar has the capacity to create faxable files in a matter of seconds . 
joy,"With a grimace , Donal murmured gloomily , ` He was n't exactly ecstatic at my explanation . "" "
joy,"Thank you , thank you ! "" she cried , quite ecstatic that he 'd unbent . "
joy,"` Well ? "" he barked , clearly not ecstatic that she thought she could lay down conditions . "
joy,"Every time they got near him , he backed off , ecstatic with excitement , tail wagging furiously . "
joy,The elation of witnessing birth may be followed by a sense of disorientation at being a displaced person . 
joy,But Richard 's elation at regaining his health was short lived because his kidneys started to fail . 
joy,"Rescued dogs are often somewhat nervous of people , and yet may also become excited to see you , when you have been out , for example . "
joy,"I could n't wait for the pictures to come out , I was so excited to see them . "
joy,` I am so excited about seeing my sons again . 
joy,"` They are naturally excited about getting the championship back after 33 years , "" he said . "
joy,This man introduced me to an agent who did n't look all that excited to see me and was only obliging a friend . 
joy,Now that he was committed to a course of action he felt exhilarated . 
joy,He was exhilarated when he heard Ornette Coleman improvising free jazz with his plastic saxophone at a club .
