label,text
joy,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu
optimism,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.
fear,In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news
sadness,It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.
anger,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage
love,All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein
joy,Manchester derby at home 
joy,her; i want a playful relationship\nme; *kicks her off the couch*
sadness,so gutted i dropped one of my earrings down the sink at school
disgust,@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom
joy,Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.
anger,Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb
sadness,@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad
anticipation,should I #start posting #photos?
joy,Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious
joy,@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph
disgust,@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver'
optimism,May the optimism of tomorrow be your foundation for today.
fear,@andreasarahco do you actually heely on campus bc this should scare you
anticipation,Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark
joy,Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815
joy,#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX
fear,@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ 
anger,After what just happened. In need to smoke. 
anger,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her
fear,That old lady is cray cray #scared #BellaIsSoCute #awe #Empire
fear,hi my names anxiety and i have shaun
joy,On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭
anger,#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the 
sadness,Summer officially ends today. #sadness
sadness,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob
sadness,I was not made for this world. #empath #unhappy
anticipation,#chirp look out for them Cars coming from the Wesszzz
sadness,finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet
fear,Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO
sadness,will brawndo cure my depression? @MikeJudge #Idiocracytoday
optimism,Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain
anticipation,@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far . #venkysout
fear,@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.
joy,@Tomstarling86 He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.
sadness,in health we did a think about depression and now i feel like i have it
joy,@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!
sadness,Muscled man with huge heart is messing with my brain and heart. #lost #confused
anticipation,@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?
joy,@MannersAboveAll *laughs louder this time, shaking my head* That was really cheesy, wasn't it?
fear,@LeafyIsHere will showing off biceps scare you?
joy,@TeamGrout glee
fear,courage the cowardly dog is like american horror story for kids
disgust,This is awful
